Record_ID,Process_ID,Process_Name,Machine_ID,Cycle_Time_min,Setup_Time_min,Waiting_Time_min,Defect_Rate,Inventory_Level,Machine_Utilization,Production_Output_units_hr,Lead_Time_min,Efficiency_Score,Is_Bottleneck,Shift,Day_Of_Week
1,P07,Quality Inspection,M04,7.78,0.85,1.2,0.1396,175,0.829,5.24,10.06,67.93,1,Afternoon,1
2,P10,Dispatch,M03,3.09,2.41,20.44,0.1598,0,0.4965,7.73,25.16,39.79,1,Afternoon,4
3,P08,Packaging,M03,7.63,5.43,1.87,0.1365,29,0.5716,4.32,14.82,54.97,1,Morning,2
4,P05,Surface Treatment,M08,16.92,2.21,1.65,0.0528,86,0.3988,1.86,21.7,52.3,0,Night,5
5,P10,Dispatch,M07,5.66,9.49,2.98,0.0876,17,0.2835,2.27,18.92,21.46,0,Morning,3
6,P09,Storage,M10,3.05,1.89,3.55,0.0859,5,0.4888,8.53,8.99,43.4,0,Night,4
7,P04,Welding,M10,24.63,0.65,8.81,0.1277,21,0.7081,0.96,35.01,39.26,1,Morning,3
8,P06,Assembly,M08,20.28,17.84,65.64,0.2854,1,0.7924,1.68,103.57,56.7,1,Morning,4
9,P10,Dispatch,M06,5.3,1.39,5.58,0.0588,20,0.3779,3.53,11.7,31.19,0,Morning,4
10,P04,Welding,M03,23.55,2.14,2.02,0.1676,56,0.4112,0.15,27.09,5.9,1,Night,4
11,P01,Raw Material Intake,M02,4.48,27.93,16.82,0.1455,24,0.577,6.93,50.34,51.74,1,Afternoon,1
12,P03,Forming,M09,20.6,5.28,1.27,0.1304,20,0.3091,1.73,25.77,59.44,1,Morning,5
13,P03,Forming,M06,12.68,11.83,2.85,0.2061,5,0.821,3.08,27.55,65.05,1,Morning,3
14,P09,Storage,M05,2.93,17.0,16.57,0.1498,7,0.2678,4.72,35.61,22.99,1,Afternoon,2
15,P10,Dispatch,M02,5.15,1.95,9.44,0.1265,10,0.8434,7.99,17.04,68.59,1,Morning,4
16,P03,Forming,M07,15.21,2.89,5.57,0.0748,0,0.8761,3.41,24.88,86.46,0,Morning,3
17,P07,Quality Inspection,M08,9.7,6.47,74.47,0.087,28,0.4318,2.6,89.03,41.99,1,Afternoon,5
18,P05,Surface Treatment,M01,25.64,2.72,1.42,0.1559,13,0.7898,0.94,31.33,40.0,1,Morning,2
19,P10,Dispatch,M03,6.32,3.5,9.71,0.055,0,0.637,5.4,21.64,56.96,0,Afternoon,5
20,P03,Forming,M01,15.84,0.5,1.92,0.0734,19,0.4173,1.78,18.82,46.98,0,Night,1
21,P03,Forming,M04,12.87,2.33,7.49,0.1247,27,0.4854,1.72,23.63,36.87,1,Night,1
22,P04,Welding,M09,18.35,15.71,22.59,0.2172,46,0.7555,2.06,58.47,62.95,1,Night,1
23,P10,Dispatch,M10,5.4,4.81,0.53,0.1127,24,0.7641,7.2,12.11,64.81,1,Morning,5
24,P06,Assembly,M07,29.29,0.59,13.57,0.1441,6,0.6446,1.9,42.0,92.58,1,Night,5
25,P06,Assembly,M10,20.78,0.5,70.05,0.1539,174,0.81,2.58,93.15,89.32,1,Night,1
