Record_ID,Process_ID,Process_Name,Machine_ID,Cycle_Time_min,Setup_Time_min,Waiting_Time_min,Defect_Rate,Inventory_Level,Machine_Utilization,Production_Output_units_hr,Lead_Time_min,Efficiency_Score,Is_Bottleneck,Shift,Day_Of_Week,Process_Enc,Machine_Enc,Shift_Enc,Util_x_CycleTime,Wait_to_Cycle_Ratio,Total_Process_Time,Defect_x_Output,High_Inventory,Log_Lead_Time,Log_Waiting
1,P07,Quality Inspection,M04,7.78,0.85,1.2,0.1396,175,0.829,5.24,10.06,67.93,1,Afternoon,1,5,3,0,6.4496199999999995,0.15424144699042802,9.83,0.731504,1,2.403334996094189,0.7884573603642702
2,P10,Dispatch,M03,3.09,2.41,20.44,0.1598,0,0.4965,7.73,25.16,39.79,1,Afternoon,4,2,2,0,1.534185,6.614865324060441,25.94,1.235254,0,3.264231526588998,3.0652583362026014
3,P08,Packaging,M03,7.63,5.43,1.87,0.1365,29,0.5716,4.32,14.82,54.97,1,Morning,2,4,2,1,4.361308,0.24508486882717065,14.93,0.5896800000000001,0,2.761274962339508,1.0543120297715298
4,P05,Surface Treatment,M08,16.92,2.21,1.65,0.0528,86,0.3988,1.86,21.7,52.3,0,Night,5,8,7,2,6.747696,0.09751767286189546,20.78,0.098208,1,3.122364924487357,0.9745596399981308
5,P10,Dispatch,M07,5.66,9.49,2.98,0.0876,17,0.2835,2.27,18.92,21.46,0,Morning,3,2,6,1,1.6046099999999999,0.5265008365709601,18.13,0.198852,0,2.991724252156452,1.3812818192963463
6,P09,Storage,M10,3.05,1.89,3.55,0.0859,5,0.4888,8.53,8.99,43.4,0,Night,4,7,9,2,1.49084,1.1639306100635736,8.489999999999998,0.732727,0,2.301584592660462,1.5151272329628591
7,P04,Welding,M10,24.63,0.65,8.81,0.1277,21,0.7081,0.96,35.01,39.26,1,Morning,3,9,9,1,17.440503,0.35769372403827693,34.089999999999996,0.122592,0,3.583796677660784,2.2834022735772717
8,P06,Assembly,M08,20.28,17.84,65.64,0.2854,1,0.7924,1.68,103.57,56.7,1,Morning,4,0,7,1,16.069872,3.236684794534125,103.76,0.47947199999999995,0,4.649856703610498,4.1993049978585875
9,P10,Dispatch,M06,5.3,1.39,5.58,0.0588,20,0.3779,3.53,11.7,31.19,0,Morning,4,2,5,1,2.00287,1.0528282022109394,12.27,0.20756399999999997,0,2.5416019934645457,1.884034745337226
10,P04,Welding,M03,23.55,2.14,2.02,0.1676,56,0.4112,0.15,27.09,5.9,1,Night,4,9,2,2,9.683760000000001,0.08577491049897644,27.71,0.02514,1,3.335413641116152,1.1052568313867783
11,P01,Raw Material Intake,M02,4.48,27.93,16.82,0.1455,24,0.577,6.93,50.34,51.74,1,Afternoon,1,6,1,0,2.58496,3.7544559052323545,49.23,1.0083149999999999,0,3.9384701754429945,2.8803214220426634
12,P03,Forming,M09,20.6,5.28,1.27,0.1304,20,0.3091,1.73,25.77,59.44,1,Morning,5,3,8,1,6.36746,0.06165045550948761,27.150000000000002,0.225592,0,3.2872818575322613,0.8197798314933114
13,P03,Forming,M06,12.68,11.83,2.85,0.2061,5,0.821,3.08,27.55,65.05,1,Morning,3,3,5,1,10.410279999999998,0.22476322968199552,27.36,0.634788,0,3.351656936102019,1.3480731482996928
14,P09,Storage,M05,2.93,17.0,16.57,0.1498,7,0.2678,4.72,35.61,22.99,1,Afternoon,2,7,4,0,0.784654,5.655270801123545,36.5,0.7070559999999999,0,3.600321427132145,2.866192902199006
15,P10,Dispatch,M02,5.15,1.95,9.44,0.1265,10,0.8434,7.99,17.04,68.59,1,Morning,4,2,1,1,4.34351,1.8330061495026222,16.54,1.010735,0,2.8925915146344776,2.3456445824544927
16,P03,Forming,M07,15.21,2.89,5.57,0.0748,0,0.8761,3.41,24.88,86.46,0,Morning,3,3,6,1,13.325481,0.3662062023627861,23.67,0.255068,0,3.2534704696327,1.8825138324965192
17,P07,Quality Inspection,M08,9.7,6.47,74.47,0.087,28,0.4318,2.6,89.03,41.99,1,Afternoon,5,5,7,0,4.18846,7.6773116728745645,90.64,0.22619999999999998,0,4.500142948120385,4.323735226296777
18,P05,Surface Treatment,M01,25.64,2.72,1.42,0.1559,13,0.7898,0.94,31.33,40.0,1,Morning,2,8,0,1,20.250472,0.05538219368869201,29.78,0.146546,0,3.4759955917373415,0.883767540168595
19,P10,Dispatch,M03,6.32,3.5,9.71,0.055,0,0.637,5.4,21.64,56.96,0,Afternoon,5,2,2,0,4.0258400000000005,1.5363899740664968,19.53,0.29700000000000004,0,3.119718253334982,2.3711778844596574
20,P03,Forming,M01,15.84,0.5,1.92,0.0734,19,0.4173,1.78,18.82,46.98,0,Night,1,3,0,2,6.610032,0.12121204468936572,18.259999999999998,0.13065200000000002,0,2.986691528901842,1.0715836162801904
21,P03,Forming,M04,12.87,2.33,7.49,0.1247,27,0.4854,1.72,23.63,36.87,1,Night,1,3,3,2,6.247097999999999,0.581973129780008,22.689999999999998,0.214484,0,3.2039652121324464,2.138889000323256
22,P04,Welding,M09,18.35,15.71,22.59,0.2172,46,0.7555,2.06,58.47,62.95,1,Night,1,9,8,2,13.863425,1.2310619994212537,56.650000000000006,0.447432,1,4.085471983718502,3.1608228934195837
23,P10,Dispatch,M10,5.4,4.81,0.53,0.1127,24,0.7641,7.2,12.11,64.81,1,Morning,5,2,9,1,4.12614,0.09814796639265483,10.74,0.8114399999999999,0,2.5733752977756086,0.4252677354043441
24,P06,Assembly,M07,29.29,0.59,13.57,0.1441,6,0.6446,1.9,42.0,92.58,1,Night,5,0,6,2,18.880333999999998,0.46329789576719166,43.45,0.27379,0,3.7612001156935624,2.6789646202071133
25,P06,Assembly,M10,20.78,0.5,70.05,0.1539,174,0.81,2.58,93.15,89.32,1,Night,1,0,9,2,16.8318,3.3710282141346415,91.33,0.397062,1,4.544889255103161,4.263383854543109
26,P10,Dispatch,M08,4.12,2.04,0.93,0.0993,8,0.582,7.6,8.83,52.25,0,Morning,5,2,7,1,2.39784,0.22572760745726347,7.09,0.7546799999999999,0,2.285438934159075,0.6575200029167941
27,P03,Forming,M06,10.52,14.96,6.47,0.0435,0,0.6125,3.49,30.85,61.18,0,Morning,3,3,5,1,6.4435,0.6150184267885677,31.95,0.151815,0,3.4610373820181723,2.010894999144726
28,P01,Raw Material Intake,M01,2.55,1.6,0.29,0.0596,57,0.632,13.2,4.56,56.04,0,Morning,1,6,0,1,1.6116,0.11372504421551288,4.44,0.78672,1,1.715598108262491,0.2546422183735807
29,P08,Packaging,M02,8.82,2.22,0.6,0.0822,38,0.5792,3.94,13.01,57.9,0,Afternoon,3,4,1,0,5.108544,0.06802713375608417,11.64,0.323868,0,2.6397713603489157,0.4700036292457356
30,P07,Quality Inspection,M06,10.41,4.68,20.25,0.1426,29,0.6464,2.25,35.14,39.09,1,Night,1,5,5,2,6.729024,1.945243088143047,35.34,0.32085,0,3.5874002851640823,3.056356895370426
31,P04,Welding,M08,25.68,0.5,19.39,0.1059,38,0.9222,2.21,44.66,94.44,1,Afternoon,3,9,7,0,23.682096,0.7550620112686872,45.57,0.234039,0,3.821222641101649,3.015044584586364
32,P02,Cutting,M10,13.48,2.12,2.14,0.0606,44,0.9018,3.19,19.69,71.68,1,Afternoon,3,1,9,0,12.156264,0.1587535914290865,17.740000000000002,0.193314,1,3.029650491757452,1.144222799920162
33,P01,Raw Material Intake,M10,4.8,10.14,0.44,0.1013,5,0.3943,4.86,15.85,38.9,1,Afternoon,4,6,9,0,1.8926399999999999,0.09166647569484232,15.38,0.49231800000000003,0,2.8243506567983707,0.3646431135879093
34,P02,Cutting,M10,9.19,0.55,6.69,0.0399,15,0.6582,3.07,16.13,47.02,0,Afternoon,2,1,9,0,6.048858,0.7279643874163358,16.43,0.12249299999999999,0,2.8408313123360287,2.0399207835175526
35,P08,Packaging,M08,11.48,2.83,0.68,0.0703,8,0.5636,2.51,14.36,48.02,0,Morning,3,4,7,1,6.470128,0.05923339788031544,14.99,0.176453,0,2.731766727719526,0.5187937934151675
36,P08,Packaging,M07,9.28,0.5,18.46,0.0904,15,0.7062,4.4,27.32,68.05,1,Afternoon,4,4,6,0,6.553536,1.9892219943728513,28.240000000000002,0.39776,0,3.343568268825519,2.968361076757859
37,P01,Raw Material Intake,M10,5.64,7.3,0.46,0.1337,9,0.9404,8.38,13.66,78.72,1,Morning,1,6,9,1,5.303856,0.0815601390777676,13.4,1.1204060000000002,0,2.6851226964585053,0.3784364357202451
